THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
159,CUSTOM HOUSE,TAIGH-CUSBAINN,nm,"taigh-cusbainn, tigh-cusbainn, thaigh-cusbainn, taigh-chusbainn, thigh-cusbainn, tigh-chusbainn, taighe-chusbainn, tighe-chusbainn, thaighe-chusbainn, thighe-chusbainn, thaigh-cusbainn, taighean-cusbainn, tighean-cusbainn, thaigh-cusbainn, thighean-cusbainn, taighean-cusbainn, tighean-cusbainn, thaigh-cusbainn, thighean-cusbainn",Y,"A government office or building, especially at a seaport, at which customs are collected and ships are cleared for entry.","Taigh no togalach an riaghaltais, mar is trice ann am port-mara, far a bheilear a' togail na cusbainn 's a' toirt cead do longan a thighinn a-steach dhan dùthaich.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,22/11/2007 11:05,LEANNEM,
160,FIRE STATION,STÈISEAN-SMÀLAIDH,nm,"stèisean-smàlaidh, stèisein-smàlaidh, stèiseanan-smàlaidh, stèiseanan-smàlaidh",Y,A civic building housing fire engines and a permanent fire-fighting force.,Togalach catharra sa bheil na h-einnseanan-smàlaidh agus feachd-smàlaidh buan.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
161,LEGAL SITE,LÀRACH LAGHAIL,,làrach laghail,Y,"Buildings, sites and structures associated with the enactment and enforcement of public law.","Togalaichean, làraichean is structaran a tha co-cheangailte ri cur an sàs agus èigneachadh an lagha phoblaich.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
162,LAW COURT,CÙIRT-LAGHA,nf,"cùirt-lagha, chùirt-lagha, cùirt-lagha, chùirt-lagha, cùirte-lagha, chùirte-lagha, chùirt-lagha, cùirtean-lagha, chùirtean-lagha, cùirtean-lagha, chùirtean-lagha",Y,"A place, hall or chamber in which justice is administered.","Àite, talla no seòmraichean far a chuirear ceartas an gnìomh.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
163,COURT HILL,TOM A' MHÒID,,"tom a' mhòid, tom mòid",Y,An artificial or natural mound where a court was held and justice administered.,Tom nàdarra no fear a chaidh a thogail far an robhar a' cumail cùirt agus far an robhar a' cur ceartas an gnìomh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
165,SHERIFF COURTHOUSE,TAIGH-CÙIRTE AN t-SIORRAIM,,"taigh-cùirte an t-siorraim, taigh-cùirt an t-siorraim",Y,A court presided over by a sheriff.,Cùirt far a bheil siorram sa chathair.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
166,POLICE STATION,STÈISEAN A' PHOILEIS,,stèisean a' phoileis,Y,"The office or headquarters of a local police force, or of a police district.",Oifis no prìomh-oifis aig feachd ionadail a' phoileis no aig sgìre a' phoileis.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
193,SCIENTIFIC RESEARCH ESTABLISHMENT,IONAD-RANNSACHAIDH SAIDHEANSAIL,,ionad-rannsachaidh saidheansail,Y,"Buildings and structures where scientific research is carried out. May be attached to an educational establishment, or be a private or government sponsored facility.",Togalaichean is structaran far a bheilear ri rannsachadh saidheansail. Dh'fhaoidte gum bi iad co-cheangailte ionad-foghlaim no ionad prìobhaideach no fear aig an riaghaltas.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
194,SHELTER,FASGADH,nm,"fasgadh, fhasgadh, fasgaidh, fhasgaidh, fhasgaidh, fasgaidhean, fhasgaidhean, fasgaidhean, fhasgaidhean, fhasgaidhean",Y,A structure or natural formation which serves as protection from the elements.,Structar no àite nàdarra far am faighear dìon o na sìontan.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
195,AVALANCHE SHELTER,FASGADH MAOIME-SNEACHDA,,"fasgadh maoime-sneachda, fasgadh maoim-sneachda",Y,"A building or structure designed to protect people, animals and vehicles from avalanches.","Togalach no structar a chaidh a dhealbhadh gus daoine, beathaichean is carbadan a dhìon o mhaoimean-sneachda.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
196,TING,TING,nm,ting,Y,A place of judicial assembly dating to the Viking period.,Mòd lagha a tha a' dol air ais gu linn nan Lochlannach.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
197,TOLBOOTH,TOLL-BHÙTHA,nm,"toll-bùtha, tholl-bùtha, tuill-bùtha, thuill-bùtha, tholl-bùtha, tuill-bùtha, thuill-bùtha, toll-bùtha, tholl-bùtha",Y,"A building serving as a centre of local burgh administration, justice and ceremony.","Togalach a tha ann an teis-mheadhan rianachd, ceartas agus deas-ghnàthan a' bhuirgh ionadail.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
198,TOWN,BAILE,nm,"baile, bhaile, baile, bhaile, bhaile, bailtean, bhailtean, baileachan, bhaileachan, bailtibh, bhailtibh, bailtean, bhailtean, bhailtean",Y,"A settlement with public buildings, commercial establishments and private dwellings, larger than a village and having more complete and independent local government.","Tuineachas aig a bheil togalaichean poblach, buidhnean malairteach agus àitichean-còmhnaidh prìobhaideach a tha nas motha na clachan agus far a bheil barrachd a' dol a thaobh riaghaltais ionadail neo-eisimeilich.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
199,TRIANGULATION STATION,STÈISEAN-TRIANTANACHAIDH,nm,"stèisean-triantanachaidh, stèisein-thriantanachaidh, stèiseanan-triantanachaidh, stèiseanan-triantanachaidh",Y,"A fixed marker, usually at the top of a hill, forming part of a network used for surveying by triangulation.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/10/2007 13:48,ANGELAG,
200,VICUS,VICUS,nm,vicus,Y,"A district, suburb or quarter of a town or village adjacent to a Roman fort, with the lowest legal status accorded to a built-up area.","Sgìre, frith-bhaile no roinn de bhaile no clachan a bha faisg air gearastan Ròmanach 's aig an robh an inbhe laghail as ìsle am measg nan raointean togalaichte.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
201,WATCH HOUSE,TAIGH-FREICEADAIN,nm,"taigh-freiceadain, tigh-freiceadain, thaigh-freiceadain, thigh-freiceadain, taigh-fhreiceadain, tigh-fhreiceadain, taighe-fhreiceadain, tighe-fhreiceadain, thaighe-fhreiceadain, thighe-fhreiceadain, thaigh-freiceadain, taighean-freiceadain, tighean-freiceadain, thaighean-freiceadain, thighean-freiceadain, taighean-freiceadain, tighean-freiceadain, thaighean-freiceadain, thighean-freiceadain",Y,"A house or hut for a nightwatchman; including parish watch houses in churchyards and private watch houses, eg. in dockyards, factories, etc.","Taigh no bothan do dh'fhear-faire; a' gabhail a-steach taighean-freiceadain sgìreil ann an cilltean is feadhainn phrìobhaideach, m.e. air docannan no ann am factaraidhean is msaa.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
202,COMMEMORATIVE,CUIMHNEACHADH,nm,"cuimhneachadh, chuimhneachadh, cuimhneachaidh, chuimhneachaidh, chuimhneachaidh, cuimhneachaidhean, chuimhneachaidhean, cuimhneachaidhean, chuimhneachaidhean, chuimhneachaidhean",N,This is the top term for the class. See COMMEMORATIVE Class List for narrow terms.,"Seo am briathar as àirde sa chlas seo. Faic liosta a' chlas ""CUIMHNEACHADH"" airson briathran nas pongaile.",Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:13,ANGELAG,
203,COMMEMORATIVE MONUMENT,CARRAGH-CUIMHNE,nf,"carragh-chuimhne, charragh-chuimhne, carraigh-chuimhne, charraigh-chuimhne, carraighe-cuimhne, charraighe-cuimhne, carraighean-cuimhne, charraighean-cuimhne, carraghan-cuimhne, charraghan-cuimhne, carraighean-cuimhne, charraighean-cuimhne",Y,A building or structure erected to commemorate a person or event.,Togalach no structar a chaidh a thogail mar chuimhneachan air duine no tachartas.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
205,CENOTAPH,FÀS-CHÀRN,nm,"fàs-chàrn, fhàs-chàrn, fàs-chàirn, fhàs-chàirn, fàs-chùirn, fhàs-chùirn, fhàs-chàirn, fàs-chàirn, fhàs-chàirn, fàs-chàrnaibh, fhàs-chàrnaibh, fàs-chàrn, fhàs-chàrn",Y,A sepulchral monument erected to commemorate a person or persons buried elsewhere. ,Carragh-chuimhne a chaidh a thogail ann an cuimhne duine no dhaoine a chaidh an tìodhlaiceadh am àiteigin eile.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
206,COMMEMORATIVE CAIRN,CÀRN-CUIMHNE,nm,"càrn-cuimhne, chàrn-cuimhne, chàrn-chuimhne, càirn-chuimhne, chàirn-chuimhne, cùirn-chuimhne, chùirn-chuimhne, cùirn-chuimhne, chùirn-chuimhne, càrn-cuimhne, chàrn-cuimhne",Y,A cairn erected to commemorate an event or person.,Càrn a chaidh a thogail mar chuimhneachan air tachartas no duine.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
207,COMMEMORATIVE STONE,CLACH-CHUIMHNE,nf,"clach-chuimhne, chlach-chuimhne, cloich-chuimhne, chloich-chuimhne, cloiche-cuimhne, chloiche-cuimhne, clachan-cuimhne, chlachan-cuimhne, clachan-cuimhne, chlachan-cuimhne",Y,"A stone, either freestanding or part of a structure, which commemorates a person or event.",Clach no leac a tha na seasamh na h-aonar no a tha na pàirt de structar a chaidh a thogail mar chuimhneachan air duine no tachartas.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
209,MARRIAGE STONE,CLACH-PHÒSAIDH,nf,"clach-phòsaidh, chlach-phòsaidh, cloich-phòsaidh, chloich-phòsaidh, cloiche-pòsaidh, chloiche-pòsaidh, chlach-phòsaidh, clachan-pòsaidh, chlachan-pòsaidh",Y,"A stone inscribed with the initials of a bride and groom, usually accompanied by a date, and found on a lintel or set into a wall.","Clach anns an deach na ciad litrichean nan ainmean aig bean is fear bainnse a sgrìobadh, mar is trice le ceann-là. Bhiodh a' chlach fhèin na h-àrd-doras mar is trice no am broinn balla.",Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,25/04/2007 09:30,ANGELAG,
210,WAR MEMORIAL,CUIMHNEACHAN-COGAIDH,nm,"cuimhneachan-cogaidh, chuimhneachan-cogaidh, chuimhneachan-chogaidh, cuimhneachain-chogaidh, chuimhneachain-chogaidh, , , , , , , , cuimhneachain-chogaidh, chuimhneachain-chogaidh, , , , , , , , , cuimhneachan-cogaidh, chuimhneachan-cogaidh, , , , , , , , , , ",Y,"A structure, building or site commemorating members of the armed forces and civilians killed in war.","Structar, togalach no làrach a tha na chuimhneachan air buill an airm agus sìobhaltaich a chaidh a mharbhadh ann an cogadh.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
211,COMMERCIAL,MALAIRTEACH,bua,"malairteach, mhalairteach, malairtiche, mhalairtiche, malairteach, mhalairteach, malairtich, mhalairtich, malairtiche, mhalairtiche, malairtich, mhalairtich",N,This is the top term for the class. See COMMERCIAL Class List for narrow terms.,Seo am briathar as àirde sa chlas. Faic liosta a' chlas MALAIRTEACH airson briathran nas pongaile.,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:14,ANGELAG,
213,BANK (FINANCIAL),BANCA,nm,"banca, bhanca, banca, bhanca, bhanca, bancaichean, bhancaichean, bancan, bhancan, bancaibh, bhancaibh, bancaichean, bhancaichean, bhancaichean",Y,"An establishment used for the custody of money received from, or on behalf, of its customers.",Eagrachas a tha a' stòradh airgead a fhuair e bho na custamairean aige no as an leth.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
215,COMMERCIAL OFFICE,OIFIS GNOTHACHAIS,,oifis gnothachais,Y,The administrative office of a commercial concern.,Oifis rianachd aig gnothach.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
216,ESTATE OFFICE,OIFIS OIGHREACHD,,oifis oighreachd,Y,An office for the administration of a town or country estate.,Oifis a chum rianachd oighreachd ann am baile no air an dùthaich.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
217,TIME OFFICE,OIFIS TÌME,,"oifis tìme, tìm",Y,A room or building occupied by a person employed to keep accounts of workers' hours of labour.,Seòmar no togalach far a bheil cuideigin ga fhastadh a chumas clàr nan uairean-obrach aig obraichean.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
219,MARKET,MARGADH,nf,"margadh, mhargadh, margaidh, mhargaidh, mhargaidh, margaidhean, mhargaidhean, margaidhean, mhargaidhean, mhargaidhean, margaid, mhargaid, margaid, mhargaid, margaide, mhargaide, mhargaid, margaidean, mhargaidean, margaidibh, mhargaidibh, margaidean, mhargaidean, mhargaidean",Y,"An open area, covered space or building where goods or livestock are bought and sold. It may be a permanent establishment or an event held periodically. Use specific term where known.","Raon fosgailte, àite fo mhullach no togalach far a bheil bathar no crodh ga reic 's ga cheannach. Dh'fhaoidte gum bi seo ann gu buan no gun cumar e o àm gu àm. Cleachd briathar nas pongaile ma tha gin ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,Yes
220,CHEESE MARKET,MARGADH CÀISE,,margadh càise,Y,A market for the sale of cheeses.,Margadh far a bheilear a' reic càise.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
222,FRUIT AND VEGETABLE MARKET,MARGADH LUSAN IS MHEASAN,,margadh lusan is mheasan,Y,An indoor or outdoor market where fruit and vegetables are sold.,Margadh am broinn togalaich no taobh a-muigh far a bheilear a' reic lusan is measan.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
225,MARKET PLACE,ÀITE-MARGAIDH,nm,"àite-margaidh, àite-mhargaidh, àite-mhargaidh, àitichean-margaidh, àiteachan-margaidh, àitichean-margaidh",Y,"An area where public markets are held, often a town square or a widened street.","Àite far an cumar margaidhean, gu math tric iar ceàrnag a' bhaile no sràidh leathann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
226,MARKET STANCE,STANND MARGAIDH,,stannd margaidh,Y,An area in a market place set aside for the erection of a market stall.,Àite sònraichte air àite-margaidh far an tèid stannd margaidh a thogail.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
227,MEAT MARKET,MARGADH FEÒLA,,margadh feòla,Y,A commercial premises or public space where meat is traded.,Ionad malairteach no raon poblach far a bheilear a' reic feòil.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
229,SHOPPING CENTRE,IONAD BHÙTHAN,,ionad bhùthan,Y,"A shopping complex, usually indoors, comprised of a number of separate retail outlets surrounding an open space. Often on more than one level.","Àite airson seopadaireachd, mar is trice am broinn togalaich, sa bheil diofar aonadan gnothachais mun cuairt air raon fosgailte. Gu math tric air barrachd air aon làr.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
230,CONFERENCE CENTRE,IONAD CHO-LABHAIRTEAN,,ionad cho-labhairtean,Y,"A purpose-built, or modified, building where organisations and associations meet for presentations and consultation.",Togalaich a chaidh a thogail a dh'aona-ghnothach no a chaidh a chur air dòigh mar àite far an tig buidhnean is comainn còmhla a thoirt seachad taisbeanaidhean 's a dheasbad chuspairean.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
231,COUNTING HOUSE,TAIGH-CUNNTAIS,nm,"taigh-cunntais, tigh-cunntais, thaigh-cunntais, thigh-cunntais, taigh-chunntais, tigh-chunntais, taighe-chunntais, tighe-chunntais, thaighe-chunntais, thighe-chunntais, taighean-cunntais, tighean-cunntais, thaighean-cunntais, thighean-cunntais, taighean-cunntais, tighean-cunntais, thaighean-cunntais, thighean-cunntais",Y,"An accounts office, especially within an industrial or commercial complex.","Oifis cunntasair, gu h-àraid am broinn ionad gnìomhachais no gnothachais.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
233,CAFE,CAFAIDH,nm,"cafaidh, chafaidh, cafaidh, chafaidh, chafaidh, cafaidhean, chafaidhean, cafaidhibh, chafaidhibh, cafaidhean, chafaidhean, chafaidhean",Y,An eating and drinking establishment usually serving snacks and non-alcoholic drinks.,"Àite far an gabhar biadh is deoch, mar is trice biadh beag agus dighean nach eil nan dighean-làidir.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
234,PUBLIC HOUSE,TAIGH-SEINNSE,nm,"taigh-seinnse, taigh-sheinnse, tigh-seinnse, tigh-sheinnse, thaigh-seinnse, thaigh-sheinnse, thigh-seinnse, thigh-sheinnse, taighe-seinnse, taighe-sheinnse, tighe-seinnse, tighe-sheinnse, thaighe-seinnse, thaighe-sheinnse, thighe-seinnse, thighe-sheinnse, taighean-seinnse, taighean-sheinnse, tighean-seinnse, tighean-sheinnse, thaighean-seinnse, thaighean-sheinnse, thighean-seinnse, thighean-sheinnse, taighean-seinnse, thaighean-seinnse",Y,A building licensed for the sale and public consumption of alcoholic drinks.,Àite aig a bheil cead deoch-làidir a reic agus airson am pobal a bhith an làthair ga h-òl.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
235,RESTAURANT,TAIGH-BÌDH,nm,"taigh-bìdh, taigh-bìdhe, tigh-bìdh, tigh-bìdhe, thaigh-bìdh, thaigh-bhìdh, thaigh-bìdhe, thaigh-bhìdhe, thigh-bìdh, thigh-bìdhe, taighe-bhìdh, taighe-bhìdhe, tighe-bhìdh, tighe-bhìdhe, thaighe-bhìdh, thaighe-bhìdhe, thighe-bhìdh, thighe-bhìdhe, thaigh-bìdh, taighean-bìdh, taighean-bìdhe, tighean-bìdh, tighean-bìdhe, thaighean-bìdh, thaighean-bìdhe, thighean-bìdh, thighean-bìdhe, taighean-bìdhe, thaighean-bìdhe, taighean-bìdh, thaighean-bìdh",Y,A commercial establishment where meals and refreshments are prepared and served to paying customers.,Gnothach far a bheil biadh is deoch ga ullachadh 's ga reic do chustamairean.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
237,CORN EXCHANGE,TAIGH-MALAIRT ARBHAIR,,taigh-malairt arbhair,Y,"A building where samples of corn were sold or auctioned during the early to mid 19th century. When not in use, between market days, the buildings were used as public halls.",Togalach far an robh buill-shampaill de dh'arbhar ga reic gu dìreach no air reic-tairgse eadar toiseach is meadhan na 19mh linn. Bhathar a' cleachdadh nan togalaichean seo mar thallachan poblach eadar làithean margaidh nuair nach robh feum orra a chum reic an arbhair.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
238,FUNERAL DIRECTORS,TAIGH-TÒRRAIDH,nm,"taigh-tòrraidh, thaigh-tòrraidh, taighe-thòrraidh, thaigh-thòrraidh, taighean-tòrraidh, thaighean-tòrraidh, taighean-tòrraidh, thaighean-tòrraidh",Y,The establishment of an undertaker who is responsible for the management of the ceremony connected with the burial or cremation of a dead body.,Gnothachas adhlacair a dhèiligeas ri stiùireadh nan deas-ghnàth a tha co-cheangailte ri tìodhlacadh no losgadh cuirp.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
240,HOTEL,TAIGH-ÒSTA,nm,"taigh-òsta, taigh-òsda, tigh-òsta, tigh-òsda, thaigh-òsta, thaigh-òsda, thigh-òsta, thigh-òsda, taigh-òsta, thaigh-òsta, thaigh-òsta, taighean-òsta, taighean-òsda, tighean-òsta, tighean-òsda, thaighean-òsta, thaighean-òsda, thighean-òsta, thighean-òsda, taighean-òsta, thaighean-òsta",Y,"A large building with separate bedrooms, providing accommodation, meals and facilities for paying guests.","Togalach mòr sa bheil iomadh seòmar-cadail fa leth. Tha cuid-oidhche, biadh agus goireasan ann gan solar do chustamairean air airgead.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
241,INN,TAIGH-ÒIL,nm,"taigh-òil, tigh-òil, thaigh-òil, thigh-òil, taigh-òil, thaigh-òil, thaigh-òil, taighean-òil, tighean-òil, thaighean-òil, thighean-òil, taighean-òil, thaighean-òil",Y,"A public house for the lodging and entertainment of travellers, etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
243,PETROL STATION,STÈISEAN-PEATRAIL,nm,"stèisean-peatrail, stèisean-peatroil, stèisean-pheatrail, stèisean-pheatroil, stèisein-pheatrail, stèisein-pheatroil, stèiseanan-peatrail, stèiseanan-peatroil, stèiseanan-peatrail, stèiseanan-peatroil",Y,"A place where vehicles can be filled up with petrol, oil, water, etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
244,POST OFFICE,OIFIS A' PHUIST,,,Y,"A building, department or other establishment where postal business is carried out.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
246,TECHNOLOGY PARK,PÀIRC TEICNEOLAIS,,,Y,"A site comprising a number of separate, purpose-built units housing high technology industries and services, together with access roads, parking facilities and other amenities.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
247,TOLL HOUSE,TAIGH-CÀINE,nm,"taigh-càine, taigh-càin, tigh-càine, tigh-càin, thaigh-càine, thaigh-càin, thigh-càine, thigh-càin, taigh-chàine, taigh-chàin, tigh-chàine, tigh-chàin, thaigh-chàine, thaigh-chàin, thigh-chàine, thigh-chàin, taighean-càine, taighean-càin, tighean-càine, tighean-càin, thaighean-càine, thaighean-càin, thighean-càine, thighean-càin, taighean-càine, taighean-càin, tighean-càine, tighean-càin, thaighean-càine, thaighean-càin, thighean-càine, thighean-càin",Y,A house by a toll gate or toll bridge where tolls are collected.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
